"","choice","countries","sanctions"
"43049","Supported","160 of 192","None"
"43057","Not supported","80 of 192","None"
"43065","Supported","160 of 192","20%"
"43073","Not supported","20 of 192","None"
"43081","Supported","160 of 192","15%"
"43089","Not supported","20 of 192","20%"
"43097","Not supported","80 of 192","20%"
"43105","Supported","160 of 192","15%"
"43113","Not supported","80 of 192","15%"
"43121","Supported","80 of 192","None"
"43129","Not supported","20 of 192","20%"
"43137","Not supported","20 of 192","None"
"43145","Not supported","80 of 192","15%"
"43153","Supported","160 of 192","None"
"43161","Supported","160 of 192","15%"
"43169","Not supported","160 of 192","15%"
"43177","Supported","20 of 192","20%"
"43185","Not supported","20 of 192","20%"
"43193","Supported","20 of 192","15%"
"43201","Supported","20 of 192","20%"
"43209","Not supported","80 of 192","20%"
"43217","Not supported","20 of 192","5%"
"43225","Supported","20 of 192","5%"
"43233","Supported","160 of 192","5%"
"43241","Supported","80 of 192","5%"
"43249","Not supported","80 of 192","20%"
"43257","Supported","20 of 192","20%"
"43265","Supported","160 of 192","5%"
"43273","Not supported","80 of 192","5%"
"43281","Supported","160 of 192","15%"
"43289","Not supported","20 of 192","None"
"43297","Not supported","20 of 192","5%"
"43305","Not supported","20 of 192","20%"
"43313","Supported","80 of 192","None"
"43321","Not supported","20 of 192","5%"
"43329","Supported","160 of 192","20%"
"43337","Not supported","160 of 192","5%"
"43345","Supported","80 of 192","5%"
"43353","Not supported","80 of 192","20%"
"43361","Supported","160 of 192","15%"
"43369","Supported","160 of 192","5%"
"43377","Not supported","80 of 192","15%"
"43385","Supported","80 of 192","None"
"43393","Supported","160 of 192","15%"
"43401","Supported","80 of 192","5%"
"43409","Not supported","80 of 192","20%"
"43417","Supported","160 of 192","None"
"43425","Not supported","20 of 192","None"
"43433","Not supported","20 of 192","15%"
"43441","Supported","20 of 192","15%"
"43449","Supported","20 of 192","5%"
"43457","Supported","80 of 192","5%"
"43465","Not supported","160 of 192","None"
"43473","Supported","160 of 192","5%"
"43481","Not supported","20 of 192","5%"
"43489","Supported","80 of 192","5%"
"43497","Supported","20 of 192","20%"
"43505","Not supported","80 of 192","None"
"43513","Supported","160 of 192","5%"
"43521","Supported","160 of 192","20%"
"43529","Supported","160 of 192","None"
"43537","Supported","160 of 192","15%"
"43545","Not supported","20 of 192","5%"
"43553","Not supported","20 of 192","20%"
"43561","Not supported","80 of 192","20%"
"43569","Not supported","20 of 192","15%"
"43577","Not supported","80 of 192","15%"
"43585","Not supported","160 of 192","20%"
"43593","Not supported","20 of 192","5%"
"43601","Supported","20 of 192","15%"
"43609","Supported","20 of 192","None"
"43617","Supported","20 of 192","None"
"43625","Not supported","80 of 192","None"
"43633","Not supported","80 of 192","None"
"43641","Not supported","80 of 192","5%"
"43649","Supported","20 of 192","20%"
"43657","Supported","20 of 192","15%"
"43665","Supported","80 of 192","None"
"43673","Not supported","20 of 192","20%"
"43681","Not supported","80 of 192","20%"
"43689","Supported","160 of 192","None"
"43697","Supported","20 of 192","5%"
"43705","Supported","160 of 192","5%"
"43713","Supported","80 of 192","20%"
"43721","Not supported","20 of 192","15%"
"43729","Supported","20 of 192","5%"
"43737","Supported","160 of 192","5%"
"43745","Not supported","20 of 192","20%"
"43753","Supported","160 of 192","5%"
"43761","Supported","80 of 192","5%"
"43769","Not supported","20 of 192","None"
"43777","Not supported","20 of 192","20%"
"43785","Not supported","160 of 192","5%"
"43793","Supported","20 of 192","20%"
"43801","Supported","160 of 192","5%"
"43809","Not supported","20 of 192","15%"
"43817","Supported","20 of 192","5%"
"43825","Not supported","160 of 192","15%"
"43833","Supported","20 of 192","20%"
"43841","Not supported","20 of 192","15%"
"43849","Supported","80 of 192","None"
"43857","Supported","20 of 192","20%"
"43865","Not supported","80 of 192","5%"
"43873","Supported","160 of 192","5%"
"43881","Not supported","80 of 192","5%"
"43889","Supported","160 of 192","5%"
"43897","Not supported","80 of 192","15%"
"43905","Supported","80 of 192","5%"
"43913","Not supported","20 of 192","15%"
"43921","Not supported","80 of 192","None"
"43929","Supported","160 of 192","15%"
"43937","Not supported","80 of 192","5%"
"43945","Not supported","20 of 192","15%"
"43953","Supported","160 of 192","5%"
"43961","Not supported","160 of 192","None"
"43969","Supported","160 of 192","None"
"43977","Not supported","20 of 192","20%"
"43985","Supported","20 of 192","15%"
"43993","Supported","80 of 192","20%"
"44001","Supported","80 of 192","None"
"44009","Not supported","20 of 192","None"
"44017","Not supported","80 of 192","None"
"44025","Supported","20 of 192","5%"
"44033","Supported","80 of 192","None"
"44041","Not supported","20 of 192","None"
"44049","Supported","160 of 192","None"
"44057","Supported","20 of 192","5%"
"44065","Not supported","20 of 192","15%"
"44073","Not supported","160 of 192","20%"
"44081","Supported","80 of 192","15%"
"44089","Not supported","80 of 192","15%"
"44097","Supported","160 of 192","5%"
"44105","Supported","160 of 192","15%"
"44113","Not supported","20 of 192","20%"
"44121","Not supported","20 of 192","None"
"44129","Not supported","20 of 192","20%"
"44137","Not supported","80 of 192","5%"
"44145","Not supported","160 of 192","5%"
"44153","Supported","20 of 192","None"
"44161","Not supported","160 of 192","5%"
"44169","Not supported","80 of 192","20%"
"44177","Supported","80 of 192","None"
"44185","Not supported","20 of 192","20%"
"44193","Not supported","80 of 192","None"
"44201","Not supported","160 of 192","None"
"44209","Supported","20 of 192","5%"
"44217","Supported","160 of 192","None"
"44225","Supported","80 of 192","None"
"44233","Supported","80 of 192","15%"
"44241","Supported","20 of 192","15%"
"44249","Not supported","80 of 192","None"
"44257","Supported","160 of 192","20%"
"44265","Supported","160 of 192","None"
"44273","Supported","160 of 192","None"
"44281","Supported","80 of 192","5%"
"44289","Not supported","160 of 192","15%"
"44297","Not supported","160 of 192","None"
"44305","Not supported","20 of 192","None"
"44313","Not supported","160 of 192","None"
"44321","Not supported","160 of 192","5%"
"44329","Not supported","160 of 192","15%"
"44337","Not supported","20 of 192","15%"
"44345","Supported","20 of 192","5%"
"44353","Supported","20 of 192","5%"
"44361","Not supported","160 of 192","15%"
"44369","Not supported","80 of 192","None"
"44377","Not supported","80 of 192","20%"
"44385","Not supported","20 of 192","15%"
"44393","Supported","20 of 192","5%"
"44401","Not supported","160 of 192","20%"
"44409","Supported","20 of 192","15%"
"44417","Supported","80 of 192","15%"
"44425","Not supported","20 of 192","5%"
"44433","Not supported","20 of 192","20%"
"44441","Not supported","80 of 192","15%"
"44449","Supported","20 of 192","5%"
"44457","Not supported","80 of 192","None"
"44465","Supported","80 of 192","15%"
"44473","Supported","160 of 192","None"
"44481","Not supported","20 of 192","15%"
"44489","Supported","20 of 192","15%"
"44497","Not supported","80 of 192","20%"
"44505","Not supported","20 of 192","15%"
"44513","Not supported","20 of 192","5%"
"44521","Not supported","160 of 192","5%"
"44529","Not supported","20 of 192","5%"
"44537","Supported","20 of 192","15%"
"44545","Supported","20 of 192","None"
"44553","Not supported","20 of 192","None"
"44561","Not supported","160 of 192","15%"
"44569","Supported","80 of 192","20%"
"44577","Supported","20 of 192","15%"
"44585","Supported","20 of 192","20%"
"44593","Not supported","160 of 192","15%"
"44601","Not supported","20 of 192","15%"
"44609","Supported","160 of 192","15%"
"44617","Supported","80 of 192","20%"
"44625","Supported","160 of 192","5%"
"44633","Not supported","20 of 192","5%"
"44641","Supported","20 of 192","20%"
"44649","Not supported","160 of 192","None"
"44657","Not supported","20 of 192","20%"
"44665","Supported","160 of 192","15%"
"44673","Supported","80 of 192","15%"
"44681","Not supported","80 of 192","None"
"44689","Not supported","20 of 192","15%"
"44697","Not supported","160 of 192","5%"
"44705","Supported","80 of 192","5%"
"44713","Not supported","20 of 192","None"
"44721","Not supported","80 of 192","20%"
"44729","Not supported","80 of 192","None"
"44737","Supported","160 of 192","15%"
"44745","Supported","160 of 192","None"
"44753","Not supported","160 of 192","None"
"44761","Not supported","80 of 192","20%"
"44769","Not supported","20 of 192","15%"
"44777","Supported","80 of 192","15%"
"44785","Supported","80 of 192","20%"
"44793","Supported","160 of 192","20%"
"44801","Supported","20 of 192","None"
"44809","Not supported","160 of 192","20%"
"44817","Supported","160 of 192","5%"
"44825","Supported","160 of 192","15%"
"44833","Not supported","80 of 192","None"
"44841","Not supported","160 of 192","5%"
"44849","Supported","20 of 192","5%"
"44857","Not supported","160 of 192","None"
"44865","Not supported","160 of 192","5%"
"44873","Not supported","160 of 192","15%"
"44881","Supported","160 of 192","5%"
"44889","Supported","80 of 192","None"
"44897","Supported","20 of 192","5%"
"44905","Supported","160 of 192","None"
"44913","Not supported","20 of 192","15%"
"44921","Not supported","20 of 192","5%"
"44929","Not supported","20 of 192","None"
"44937","Not supported","160 of 192","20%"
"44945","Not supported","80 of 192","None"
"44953","Supported","160 of 192","20%"
"44961","Supported","80 of 192","None"
"44969","Supported","20 of 192","20%"
"44977","Supported","80 of 192","15%"
"44985","Not supported","20 of 192","5%"
"44993","Not supported","20 of 192","20%"
"45001","Not supported","20 of 192","15%"
"45009","Supported","20 of 192","5%"
"45017","Supported","160 of 192","20%"
"45025","Supported","160 of 192","15%"
"45033","Not supported","20 of 192","20%"
"45041","Supported","160 of 192","5%"
"45049","Not supported","20 of 192","None"
"45057","Not supported","80 of 192","15%"
"45065","Supported","20 of 192","None"
"45073","Supported","160 of 192","15%"
"45081","Not supported","160 of 192","15%"
"45089","Supported","160 of 192","5%"
"45097","Supported","160 of 192","20%"
"45105","Not supported","20 of 192","15%"
"45113","Supported","160 of 192","None"
"45121","Supported","160 of 192","20%"
"45129","Supported","20 of 192","15%"
"45137","Not supported","160 of 192","5%"
"45145","Supported","80 of 192","None"
"45153","Supported","160 of 192","20%"
"45161","Supported","160 of 192","20%"
"45169","Supported","20 of 192","15%"
"45177","Not supported","20 of 192","20%"
"45185","Not supported","160 of 192","15%"
"45193","Not supported","20 of 192","15%"
"45201","Not supported","160 of 192","15%"
"45209","Supported","80 of 192","15%"
"45217","Not supported","20 of 192","None"
"45225","Not supported","160 of 192","None"
"45233","Not supported","80 of 192","None"
"45241","Supported","160 of 192","None"
"45249","Supported","20 of 192","20%"
"45257","Not supported","80 of 192","15%"
"45265","Supported","80 of 192","5%"
"45273","Not supported","20 of 192","5%"
"45281","Supported","80 of 192","20%"
"45289","Supported","80 of 192","20%"
"45297","Not supported","80 of 192","15%"
"45305","Not supported","20 of 192","15%"
"45313","Not supported","80 of 192","None"
"45321","Supported","160 of 192","5%"
"45329","Not supported","20 of 192","20%"
"45337","Supported","160 of 192","None"
"45345","Not supported","20 of 192","15%"
"45353","Supported","20 of 192","5%"
"45361","Not supported","20 of 192","20%"
"45369","Supported","20 of 192","5%"
"45377","Supported","80 of 192","20%"
"45385","Not supported","80 of 192","20%"
"45393","Not supported","160 of 192","5%"
"45401","Not supported","80 of 192","5%"
"45409","Supported","20 of 192","None"
"45417","Supported","80 of 192","15%"
"45425","Supported","160 of 192","20%"
"45433","Supported","160 of 192","5%"
"45441","Supported","20 of 192","5%"
"45449","Not supported","160 of 192","15%"
"45457","Not supported","20 of 192","None"
"45465","Supported","160 of 192","5%"
"45473","Not supported","20 of 192","20%"
"45481","Not supported","160 of 192","5%"
"45489","Not supported","80 of 192","20%"
"45497","Supported","160 of 192","20%"
"45505","Supported","160 of 192","5%"
"45513","Supported","160 of 192","5%"
"45521","Supported","80 of 192","15%"
"45529","Not supported","160 of 192","15%"
"45537","Not supported","160 of 192","20%"
"45545","Not supported","160 of 192","20%"
"45553","Supported","160 of 192","None"
"45561","Not supported","20 of 192","15%"
"45569","Not supported","80 of 192","15%"
"45577","Supported","20 of 192","None"
"45585","Supported","160 of 192","5%"
"45593","Supported","20 of 192","15%"
"45601","Supported","20 of 192","15%"
"45609","Not supported","160 of 192","20%"
"45617","Supported","160 of 192","5%"
"45625","Not supported","20 of 192","20%"
"45633","Supported","80 of 192","5%"
"45641","Not supported","20 of 192","20%"
"45649","Supported","80 of 192","None"
"45657","Not supported","80 of 192","None"
"45665","Not supported","20 of 192","None"
"45673","Supported","160 of 192","5%"
"45681","Supported","20 of 192","15%"
"45689","Not supported","160 of 192","15%"
"45697","Not supported","20 of 192","None"
"45705","Not supported","80 of 192","20%"
"45713","Supported","160 of 192","15%"
"45721","Supported","160 of 192","5%"
"45729","Not supported","80 of 192","20%"
"45737","Supported","160 of 192","20%"
"45745","Not supported","20 of 192","15%"
"45753","Not supported","80 of 192","None"
"45761","Not supported","20 of 192","20%"
"45769","Not supported","160 of 192","5%"
"45777","Not supported","160 of 192","20%"
"45785","Not supported","80 of 192","20%"
"45793","Supported","20 of 192","15%"
"45801","Not supported","20 of 192","5%"
"45809","Not supported","20 of 192","5%"
"45817","Not supported","160 of 192","20%"
"45825","Supported","160 of 192","20%"
"45833","Supported","80 of 192","20%"
"45841","Supported","20 of 192","None"
